#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Total_Site_Energy_GJ,EUI_MJ_m2,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,P8_PV_kW,P9_BESS_kWh,Net_EUI_kWh_m2,LCE_tCO2_m2,LCC_USD_m2
45,LHS-000045,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,5.568887387,0.23,1.5,0.13,0.17,4.15,25.0,6.66362,EnergyPlus Completed Successfully,7412033,12,0,1,50.81,1_Baseline,1917.43,384.86,143392.11,9343.55,120,150,70.7754873098711,3.0826660517864313,1023.8213596792154
46,LHS-000046,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,6.818887387,0.45,1.5,0.17,0.24,3.65,24.5,4.0,EnergyPlus Completed Successfully,6677395,17,0,1,44.11,1_Baseline,1876.26,376.59,140755.68,9343.52,30,120,95.5758162719122,4.151258262946607,1382.5770176549884
47,LHS-000047,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,6.193887387,0.45,2.86184304,0.219,0.2409,3.9,25.5,4.6,EnergyPlus Completed Successfully,8029451,0,0,1,42.38,1_Baseline,1887.86,378.92,137083.19,9343.09,150,30,60.09297024844998,2.6264453147330387,869.2906095801594
48,LHS-000048,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,5.568887387,0.45,1.5,0.13,0.17,3.9,24.5,5.3,EnergyPlus Completed Successfully,6632273,0,0,1,28.83,1_Baseline,1867.77,374.89,139496.23,9344.76,30,90,95.10359404968999,4.128732262946607,1375.745963345047
49,LHS-000049,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,6.193887387,0.37,2.86184304,0.219,0.2409,3.399288815,24.5,4.0,EnergyPlus Completed Successfully,6835672,14,0,1,43.64,1_Baseline,1985.03,398.43,154564.29,9343.71,90,60,83.57744881573664,3.634474788839823,1209.0114888281844
50,LHS-000050,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.318887387,0.23,1.5,0.13,0.17,4.15,26.0,6.0,EnergyPlus Completed Successfully,8456519,13,0,1,59.49,1_Baseline,1843.72,370.06,129148.94,9344.28,150,150,57.63185913733886,2.5261763147330383,833.6887618236414
51,LHS-000051,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.943887387,0.23,1.6,0.19,0.27,3.9,25.0,5.3,EnergyPlus Completed Successfully,7385520,0,0,1,51.57,1_Baseline,1907.69,382.9,142771.68,9343.88,120,30,70.23104286542664,3.0636140517864305,1015.945555886577
52,LHS-000052,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,6.818887387,0.37,1.6,0.19,0.27,4.15,25.0,4.0,EnergyPlus Completed Successfully,7471075,14,0,1,50.99,1_Baseline,1837.61,368.84,137317.6,9344.5,150,60,57.29297024844997,2.5108063147330384,828.7864757894483
53,LHS-000053,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,6.193887387,0.3,1.5,0.13,0.17,4.15,24.5,4.0,EnergyPlus Completed Successfully,6624718,0,0,1,29.69,1_Baseline,1770.24,355.31,132702.46,9346.43,0,30,98.69722222222222,4.278969,1427.7305334501593
54,LHS-000054,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,4.318887387,0.37,1.5,0.17,0.24,3.399288815,26.0,4.6,EnergyPlus Completed Successfully,8667015,15,0,2,3.7,1_Baseline,2000.11,401.45,143257.87,9345.6,0,60,111.51388888888889,4.83177,1613.1333839564504
